date,shooting_no
12/01/2017,3
13/01/2017,1
14/01/2017,2
15/01/2017,4
16/01/2017,3
17/01/2017,2
18/01/2017,6
19/01/2017,3
20/01/2017,1
21/01/2017,2
22/01/2017,3
23/01/2017,5
24/01/2017,8
25/01/2017,3
26/01/2017,4
27/01/2017,1
28/01/2017,4
29/01/2017,1
30/01/2017,4
31/01/2017,1
1/02/2017,2
2/02/2017,3
3/02/2017,7
4/02/2017,3
5/02/2017,3
6/02/2017,3
7/02/2017,5
8/02/2017,3
9/02/2017,3
10/02/2017,8
11/02/2017,4
12/02/2017,2
13/02/2017,3
14/02/2017,3
15/02/2017,3
16/02/2017,4
17/02/2017,4
18/02/2017,2
19/02/2017,4
20/02/2017,2
21/02/2017,5
22/02/2017,3
23/02/2017,4
24/02/2017,3
25/02/2017,2
26/02/2017,4
27/02/2017,2
28/02/2017,3
1/03/2017,1
2/03/2017,5
3/03/2017,2
4/03/2017,4
7/03/2017,2
8/03/2017,2
9/03/2017,2
10/03/2017,1
11/03/2017,2
12/03/2017,2
13/03/2017,3
14/03/2017,5
15/03/2017,2
16/03/2017,5
17/03/2017,3
18/03/2017,3
19/03/2017,4
22/03/2017,3
23/03/2017,3
24/03/2017,3
25/03/2017,1
26/03/2017,4
27/03/2017,3
28/03/2017,2
29/03/2017,6
30/03/2017,1
1/04/2017,2
3/04/2017,1
4/04/2017,3
5/04/2017,2
6/04/2017,5
7/04/2017,1
8/04/2017,1
9/04/2017,1
10/04/2017,2
12/04/2017,1
13/04/2017,3
14/04/2017,2
15/04/2017,4
16/04/2017,1
17/04/2017,1
18/04/2017,1
19/04/2017,1
20/04/2017,6
21/04/2017,1
22/04/2017,3
23/04/2017,1
24/04/2017,4
25/04/2017,4
26/04/2017,3
27/04/2017,2
28/04/2017,2
29/04/2017,4
30/04/2017,3
1/05/2017,1
2/05/2017,2
3/05/2017,4
4/05/2017,1
6/05/2017,1
7/05/2017,4
8/05/2017,2
9/05/2017,6
10/05/2017,3
11/05/2017,1
12/05/2017,4
13/05/2017,2
14/05/2017,2
15/05/2017,5
16/05/2017,4
17/05/2017,1
20/05/2017,3
21/05/2017,4
22/05/2017,1
23/05/2017,4
24/05/2017,2
25/05/2017,1
26/05/2017,3
27/05/2017,1
28/05/2017,1
29/05/2017,2
30/05/2017,1
31/05/2017,2
1/06/2017,1
2/06/2017,6
3/06/2017,1
4/06/2017,2
5/06/2017,4
6/06/2017,1
7/06/2017,4
8/06/2017,5
9/06/2017,3
10/06/2017,3
11/06/2017,1
12/06/2017,4
13/06/2017,4
14/06/2017,3
15/06/2017,1
16/06/2017,5
17/06/2017,2
18/06/2017,2
19/06/2017,2
20/06/2017,5
21/06/2017,2
22/06/2017,1
23/06/2017,2
24/06/2017,4
25/06/2017,3
26/06/2017,1
27/06/2017,1
28/06/2017,1
29/06/2017,4
30/06/2017,2
1/07/2017,3
2/07/2017,1
3/07/2017,4
4/07/2017,7
5/07/2017,6
6/07/2017,2
7/07/2017,3
8/07/2017,3
9/07/2017,4
10/07/2017,2
11/07/2017,5
12/07/2017,3
13/07/2017,3
15/07/2017,4
17/07/2017,4
18/07/2017,2
19/07/2017,3
20/07/2017,2
21/07/2017,2
23/07/2017,4
24/07/2017,1
25/07/2017,4
26/07/2017,4
27/07/2017,6
28/07/2017,3
29/07/2017,2
31/07/2017,4
1/08/2017,5
2/08/2017,4
3/08/2017,2
4/08/2017,6
5/08/2017,2
6/08/2017,2
7/08/2017,3
8/08/2017,2
9/08/2017,1
10/08/2017,2
11/08/2017,1
12/08/2017,1
13/08/2017,5
14/08/2017,2
15/08/2017,1
16/08/2017,2
17/08/2017,2
18/08/2017,2
19/08/2017,1
20/08/2017,2
21/08/2017,5
22/08/2017,5
23/08/2017,1
24/08/2017,3
25/08/2017,3
26/08/2017,1
27/08/2017,3
28/08/2017,2
29/08/2017,3
30/08/2017,2
31/08/2017,2
1/09/2017,3
3/09/2017,4
4/09/2017,2
5/09/2017,1
6/09/2017,3
7/09/2017,1
8/09/2017,2
9/09/2017,1
10/09/2017,5
11/09/2017,3
13/09/2017,1
14/09/2017,1
15/09/2017,3
16/09/2017,1
17/09/2017,3
18/09/2017,1
19/09/2017,4
20/09/2017,3
21/09/2017,4
22/09/2017,6
24/09/2017,2
25/09/2017,2
26/09/2017,3
27/09/2017,3
28/09/2017,2
30/09/2017,2
1/10/2017,6
2/10/2017,2
3/10/2017,1
4/10/2017,4
5/10/2017,5
6/10/2017,5
7/10/2017,1
8/10/2017,6
11/10/2017,3
12/10/2017,2
13/10/2017,2
14/10/2017,1
16/10/2017,5
17/10/2017,1
18/10/2017,1
19/10/2017,4
20/10/2017,2
21/10/2017,2
22/10/2017,4
23/10/2017,3
24/10/2017,3
25/10/2017,2
26/10/2017,2
27/10/2017,1
28/10/2017,3
29/10/2017,4
30/10/2017,1
31/10/2017,5
1/11/2017,2
2/11/2017,2
3/11/2017,2
4/11/2017,6
5/11/2017,3
6/11/2017,2
7/11/2017,2
8/11/2017,4
9/11/2017,5
10/11/2017,6
11/11/2017,3
12/11/2017,1
13/11/2017,2
14/11/2017,1
15/11/2017,5
16/11/2017,1
17/11/2017,5
18/11/2017,3
19/11/2017,2
20/11/2017,1
23/11/2017,5
24/11/2017,2
